SoundFile,SoundCorrect,Correct2,SoundType,Trial,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,23.37083199992776,None,23.37083199992776,None,24.454753699712455,None,space,0.663699799682945,24.454753699712455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
,,,,,,,,,,,,,,,,,,,,,,,25.19445229973644,None,25.187498939968645,None,25.19445229973644,None,25.52222519973293,None,25.52222519973293,None,space,0.30475129978731275,25.52222519973293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8574569998309,None,25.8574569998309,None,space,2.1431300002150238,25.8574569998309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.023385299835354,None,28.023385299835354,None,space,0.520518200006336,28.023385299835354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.573776699602604,None,28.573776699602604,None,space,0.5807465999387205,28.573776699602604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
Practice/Seagull_A.wav,2,3,NEW,Practice,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.306165399961174,31.569946199655533,29.304221489746123,None,29.306165399961174,31.569946199655533,2,1,1.5910629997961223,31.617870999965817,None,31.617870999965817,None,31.617870999965817,None,31.617870999965817,None,31.617870999965817,None,33.248726499732584,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
Practice/Skid_B.wav,2,3,NEW,Practice,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.272024899721146,None,34.26987391980364,None,34.272024899721146,None,2,1,1.6436799997463822,36.388244999572635,None,36.388244999572635,None,36.388244999572635,None,36.388244999572635,None,36.388244999572635,None,38.055093799717724,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
Practice/Seagull_A.wav,1,1,OLD,Practice,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08812019973993,None,39.08679721960797,None,39.08812019973993,None,1,1,1.0528685003519058,41.380365799646825,None,41.380365799646825,None,41.380365799646825,None,41.380365799646825,None,41.380365799646825,None,42.453140299767256,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
Practice/Gargle_A.wav,2,3,NEW,Practice,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48629149980843,None,43.4864098300226,None,43.48629149980843,None,2,1,1.1231750999577343,45.77712439978495,None,45.77712439978495,None,45.77712439978495,None,45.77712439978495,None,45.77712439978495,None,46.92164719989523,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
Practice/Gargle_B.wav,2,2,SIMILAR,Practice,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.96360529959202,None,47.95331551963463,None,47.96360529959202,None,2,1,1.7869099997915328,50.05365309957415,None,50.05365309957415,None,50.05365309957415,None,50.05365309957415,None,50.05365309957415,None,51.876391999889165,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.88728599995375,None,space,1.5639344002120197,52.88728599995375,None,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1009,GuessTheSound,2020.2.10,59.92232857458526,
