VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,6.437325,space,7.7128,3,1,1.438355,0,0,0,4,1,Headphone/t3_1.wav,3,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.43308,0,1,1,2,1,Headphone/t2_1.wav,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.275595,0,2,2,0,1,Headphone/t1_1.wav,1,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.291135,0,3,3,3,1,Headphone/t2_2.wav,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.240675,0,4,4,5,1,Headphone/t3_2.wav,3,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.30094,0,5,5,1,1,Headphone/t1_2.wav,1,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,space,177.65803,space,5.624875,space,2.88222,1,0,2.83157,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,0,3.46011,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,10.07293,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,2.31622,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.647,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Elephant_C.wav,3,NEW,space,282.59242,3,1,10.21573,0,0,0,0,1,,
,,,,,,,,,,,,,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,,,3,1,0.636205,0,1,1,1,1,,
,,,,,,,,,,,,,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,,,3,1,2.77071,0,2,2,2,1,,
,,,,,,,,,,,,,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,,,3,1,1.014045,0,3,3,3,1,,
,,,,,,,,,,,,,2,5ef4cc7c6095e30d2cb5087d,001,2021-02-22_19h23.57.110,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,NEW,,,3,1,1.58069,0,4,4,4,1,,
